Streaming C:\HadithProg\railway\extract\data\BookTOC_Services.json ...
  1,000 rows | 245/s | ~1,001 lines
  2,000 rows | 282/s | ~2,001 lines
  3,000 rows | 354/s | ~3,001 lines
  4,000 rows | 404/s | ~4,001 lines
  5,000 rows | 439/s | ~5,001 lines
  6,000 rows | 419/s | ~6,001 lines
  7,000 rows | 410/s | ~7,001 lines
  8,000 rows | 409/s | ~8,001 lines
  9,000 rows | 408/s | ~9,001 lines
  10,000 rows | 415/s | ~10,001 lines
  11,000 rows | 407/s | ~11,001 lines
  12,000 rows | 404/s | ~12,001 lines
  13,000 rows | 403/s | ~13,001 lines
  14,000 rows | 400/s | ~14,001 lines
  15,000 rows | 399/s | ~15,001 lines
  16,000 rows | 392/s | ~16,001 lines
  17,000 rows | 390/s | ~17,001 lines
  18,000 rows | 390/s | ~18,001 lines
  19,000 rows | 390/s | ~19,001 lines
  20,000 rows | 394/s | ~20,001 lines
  21,000 rows | 397/s | ~21,001 lines
  22,000 rows | 400/s | ~22,001 lines
  23,000 rows | 405/s | ~23,001 lines
  24,000 rows | 409/s | ~24,001 lines
  25,000 rows | 413/s | ~25,001 lines
  26,000 rows | 418/s | ~26,001 lines
  27,000 rows | 421/s | ~27,001 lines
  28,000 rows | 424/s | ~28,001 lines
  29,000 rows | 419/s | ~29,001 lines
  30,000 rows | 421/s | ~30,001 lines
  31,000 rows | 422/s | ~31,001 lines
  32,000 rows | 424/s | ~32,001 lines
  33,000 rows | 424/s | ~33,001 lines
  34,000 rows | 427/s | ~34,001 lines
  35,000 rows | 427/s | ~35,001 lines
  36,000 rows | 431/s | ~36,001 lines
  37,000 rows | 435/s | ~37,001 lines
  38,000 rows | 439/s | ~38,001 lines
  39,000 rows | 442/s | ~39,001 lines
  40,000 rows | 445/s | ~40,001 lines
  41,000 rows | 449/s | ~41,001 lines
  42,000 rows | 453/s | ~42,001 lines
  43,000 rows | 456/s | ~43,001 lines
  44,000 rows | 458/s | ~44,001 lines
  45,000 rows | 461/s | ~45,001 lines
  46,000 rows | 464/s | ~46,001 lines
  47,000 rows | 468/s | ~47,001 lines
  48,000 rows | 471/s | ~48,001 lines
  49,000 rows | 470/s | ~49,001 lines
  50,000 rows | 458/s | ~50,001 lines
  51,000 rows | 454/s | ~51,001 lines
  52,000 rows | 454/s | ~52,001 lines
  53,000 rows | 450/s | ~53,001 lines
  54,000 rows | 447/s | ~54,001 lines
  55,000 rows | 443/s | ~55,001 lines
  56,000 rows | 440/s | ~56,001 lines
  57,000 rows | 438/s | ~57,001 lines
  58,000 rows | 436/s | ~58,001 lines
  59,000 rows | 435/s | ~59,001 lines
  60,000 rows | 434/s | ~60,001 lines
  61,000 rows | 434/s | ~61,001 lines
  62,000 rows | 437/s | ~62,001 lines
  63,000 rows | 439/s | ~63,001 lines
  64,000 rows | 441/s | ~64,001 lines
  65,000 rows | 441/s | ~65,001 lines
  66,000 rows | 443/s | ~66,001 lines
  67,000 rows | 444/s | ~67,001 lines
  68,000 rows | 443/s | ~68,001 lines
  69,000 rows | 444/s | ~69,001 lines
  70,000 rows | 440/s | ~70,001 lines
  71,000 rows | 438/s | ~71,001 lines
  72,000 rows | 438/s | ~72,001 lines
  73,000 rows | 436/s | ~73,001 lines
  74,000 rows | 436/s | ~74,001 lines
  75,000 rows | 436/s | ~75,001 lines
  76,000 rows | 438/s | ~76,001 lines
  77,000 rows | 440/s | ~77,001 lines
  78,000 rows | 443/s | ~78,001 lines
  79,000 rows | 445/s | ~79,001 lines
  80,000 rows | 447/s | ~80,001 lines
  81,000 rows | 449/s | ~81,001 lines
  82,000 rows | 451/s | ~82,001 lines
  83,000 rows | 453/s | ~83,001 lines
  84,000 rows | 455/s | ~84,001 lines
  85,000 rows | 457/s | ~85,001 lines
  86,000 rows | 459/s | ~86,001 lines
  87,000 rows | 460/s | ~87,001 lines
  88,000 rows | 462/s | ~88,001 lines
  89,000 rows | 464/s | ~89,001 lines
  90,000 rows | 466/s | ~90,001 lines
  91,000 rows | 468/s | ~91,001 lines
  92,000 rows | 469/s | ~92,001 lines
  93,000 rows | 471/s | ~93,001 lines
  94,000 rows | 473/s | ~94,001 lines
  95,000 rows | 474/s | ~95,001 lines
  96,000 rows | 476/s | ~96,001 lines
  97,000 rows | 478/s | ~97,001 lines
  98,000 rows | 479/s | ~98,001 lines
