id	text	link_occurrences	weighted_chain_uses
511	عن	696505	833682
323	حدثنا	544995	619613
80	أخبرنا	90493	103259
661	نا	51518	56768
345	حدثني	43935	47321
217	أنبأ	30934	32365
104	أخبرني	25357	27918
476	سمعت	24134	26526
210	أنا	19934	21294
534	قال	17153	19096
206	أن	12003	13404
1197	في حكم العنعنة	11025	12221
6	أبنا	11095	11574
473	سمع	8090	9256
1196	صريح في السماع	6260	6479
111	أخبره 	5135	5394
716	يحدث عن	4752	5304
355	حدثه	4904	5271
462	سألت	4303	4998
516	فقال	3904	3974
117	أخبرهم	3279	3434
602	قلت	1807	2663
226	أنبأنا	2470	2575
421	رأيت	2347	2518
62	أخبرتهم	1424	1472
316	حدثتني	1202	1309
576	قرأت على	884	1116
456	سأل	1019	1082
358	حدثهم	994	1048
546	قالت	964	1004
1198	في حكم السماع	961	977
123	أخبرهم قراءة عليه	919	932
457	سئل	816	903
542	قال لي	726	842
59	أخبرته	719	753
67	أخبرك	671	691
560	قرئ على	654	677
474	سمعا	621	653
324	حدثنا إملاء	609	616
616	كتب	469	513
58	أخبرتني	428	454
344	حدثنى	434	444
766	يقول	383	386
317	حدثته	342	358
302	حدث	340	354
496	شهدت	327	341
207	إن	327	332
42	أخبراه	299	311
713	يحدث	303	309
307	حدثاه	289	301
730	يخبر عن	284	290
517	فقالت	282	284
405	ذكر	256	271
265	بلغني	227	254
134	أخبرهم وهو حاضر	243	247
86	أخبرنا بقراءتي عليه	237	246
593	قراءة عليه وأنا أسمع	181	245
482	سمعنا	225	239
75	أخبركم قراءة عليه وأنت تسمع	222	222
11776	??	219	219
741	يذكر عن	213	216
315	حدثتنا	195	214
128	أخبرهم قراءة عليه وهو حاضر	202	205
310	حدثت	191	198
419	رأى	193	197
468	سألنا	190	194
356	حدثه عن	180	182
230	أنبأني	165	171
13901	??	162	162
539	قال له	158	158
618	كتب إلي	149	152
484	سمعه	149	151
45	أخبرت	136	146
608	قيل	132	139
311	حدثت عن	127	139
135	أخبرهما	128	138
396	خطب	135	135
22	أتيت	126	130
266	بلغه	119	124
69	أخبركم	120	122
545	قالا	121	121
242	أنه رأى	119	121
719	يحدثان	115	117
90	أخبرنا قراءة عليه	115	115
65	أخبرتهم قراءة عليها	113	114
239	أنه	111	114
485	سمعوا	107	113
322	حدثكم	110	112
489	شهد	110	111
648	لقيت	110	110
693	وجدت في كتاب 	107	109
673	نبئت	101	108
518	فكتب إليه	105	107
449	زعم	96	106
95	أخبرنا قراءة عليه ونحن نسمع	94	103
47	أخبرت عن	90	99
179	أشهد	93	98
605	قلنا	95	96
413	ذكرت	92	92
538	قال لنا	90	92
91	أخبرنا قراءة عليه وأنا أسمع	81	91
321	حدثك	82	88
911	ثنا إملاء	86	87
570	قرئ وأنا أسمع	82	82
271	تحدث عن	80	82
305	حدثانا	79	79
61	أخبرتها	78	79
725	يحدثون	68	77
360	حدثهما	70	75
13105	??	61	75
74	أخبركم قراءة عليه	70	74
231	أنبأني إجازة	72	73
510	عمن	61	73
558	قرأ على	66	72
760	يسأل	68	69
215	أنا قراءة عليه	68	68
318	حدثتها	62	68
81	أخبرنا إجازة	67	67
39	أخبر	65	66
552	قالوا	61	62
87	أخبرنا في كتابه	61	61
592	قراءة عليه	58	61
550	قالت لي	55	56
303	حدث عن	54	56
3889	??	52	56
401	دخلت على	54	55
100	أخبرنا من أصل كتابه	53	53
173	أسمعت	48	51
676	نبا	50	50
339	حدثنا من أصل كتابه	48	50
29	أجاز لي	48	49
23	أتينا	47	49
628	كتبت إلى	36	44
15071	??	43	43
10	أبنا قراءة عليه	42	42
83	أخبرنا إملاء	42	42
54	أخبرتنا	41	41
714	يحدث أن	41	41
32	أحدثكم	39	41
589	قرأنا على	40	40
407	ذكر عن	39	40
6116	??	39	39
537	قال قراءة عليه وأنا أسمع	38	39
463	سئلت	35	39
99	أخبرنا من أصل سماعه	38	38
264	بلغنا	38	38
747	يرده إلى	37	38
620	كتب إلينا	35	37
622	كتب إليه	35	37
695	وجدت في كتابي	31	36
4805	??	35	35
31	أحدثك	33	33
341	حدثنا من كتابه	32	33
1070	قرئ عليه وأنا أسمع	31	32
513	عن حديث	31	31
486	سمعوه	27	31
53	أخبرتكم قراءة عليها وأنت تسمع	22	31
101	أخبرنا من أصله	30	30
13	أتانا كتاب	29	30
66	أخبرتهما	22	30
728	يخبر أن	28	29
43	أخبراهم	28	28
610	كان	28	28
617	كتب إلى	28	28
382	حفظناه من	25	28
233	أنبأه	27	27
470	سألوا	27	27
627	كتبت	26	27
76	أخبركم قراءة عليه وأنت حاضر	26	26
365	حدثوه	26	26
202	أملى علي	24	26
20	أتى	25	25
590	قراءة	25	25
532	فيما قرئ عليه	23	25
89	أخبرنا قراءة	24	24
125	أخبرهم قراءة عليه وهم يسمعون	24	24
603	قلت له	24	24
309	حدثاهم	23	23
375	حفظته	23	23
2577	??	22	22
529	فيما قرأ على	21	22
102	أخبرنا من كتابه	20	22
118	أخبرهم إجازة	21	21
386	حكاية عن	21	21
492	شهد عندي	21	21
720	يحدثنا	21	21
357	حدثها	20	21
727	يخبر	20	21
44	أخبراهم قراءة عليهما	20	20
224	أنبئت 	20	20
362	حدثونا	20	20
77	أخبركم قراءة عليه وأنتم تسمعون	19	19
170	أسأله	19	19
334	حدثنا قراءة عليه	19	19
586	قرأته على	19	19
326	حدثنا إملاء وقراءة	18	19
181	أظنه عن	18	18
237	أنبا	18	18
284	تقول	18	18
722	يحدثني	18	18
12982	??	18	18
15110	??	18	18
0	غير محدد	17	17
157	أدركت	17	17
556	قرأ	17	17
581	قرأت في كتاب	17	17
1173	وجدت في كتابه بخطه	17	17
204	أملى علينا	16	16
268	بنا	16	16
319	حدثتهم	16	16
461	سألا	16	16
475	سمعاه	16	16
770	يقولون	16	16
295	جاءنا كتاب	15	16
415	ذكره	15	16
561	قرأ علينا	15	16
613	كتاب	15	16
769	يقولان	14	16
98	أخبرنا كتابة	15	15
119	أخبرهم إجازة إن لم يكن سماعا	15	15
402	دخلنا على	15	15
746	يرده	15	15
52	أخبرتكم قراءة عليها	13	15
212	أنا إملاء	14	14
269	تحدث	14	14
335	حدثنا قراءة عليه وأنا أسمع	14	14
348	حدثني من أصل كتابه	14	14
9712	??	14	14
585	قرأت كتاب	13	14
209	أن في كتاب	11	14
108	أخبرني من أصل كتابه	13	13
411	ذكر لي	13	13
739	يذكر	13	13
928	ثنا من كتابه	13	13
3741	??	13	13
12391	??	13	13
568	قرأ كتاب	10	13
1044	عنه قراءة	9	13
60	أخبرته عن	12	12
71	أخبركم إجازة	12	12
139	أخبروني	12	12
140	أخبروه	12	12
340	حدثنا من أصله	12	12
682	نشهد على	12	12
690	وجد كتابا في كتب آبائه هذا ما رفع أو ذكر	12	12
721	يحدثنا عن	12	12
12198	??	12	12
469	سألني	11	12
